hive_id,latitude,longitude,date,clock_time,temperature_F,pressure_hPa,cloudiness_percent,humidity_percent,weather_condition_code,weather_overview
6LR,36.212598,-81.679678,2026-08-01,07:00,59.2,902.3,76,85,2,Mild and humid morning with mostly cloudy skies and Partly cloudy conditions.
6LR,36.212598,-81.679678,2026-08-01,14:00,71.1,904.8,100,87,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-01,19:00,71.8,902.2,100,83,3,Warm and humid evening with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-02,07:00,66.4,899.9,100,98,51,Mild and humid morning with mostly cloudy skies and Light drizzle conditions.
6LR,36.212598,-81.679678,2026-08-02,14:00,71.8,901.1,100,92,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-02,19:00,69.4,899.9,100,96,3,Mild and humid evening with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-03,07:00,63.4,901.4,38,94,1,Mild and humid morning with partly cloudy skies and Mainly clear conditions.
6LR,36.212598,-81.679678,2026-08-03,14:00,74.4,905.0,100,80,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-03,19:00,70.2,904.1,100,94,53,Warm and humid evening with mostly cloudy skies and Moderate drizzle conditions.
6LR,36.212598,-81.679678,2026-08-04,07:00,65.5,906.0,100,99,45,Mild and humid morning with mostly cloudy skies and Fog conditions.
6LR,36.212598,-81.679678,2026-08-04,14:00,76.8,909.5,100,65,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-04,19:00,71.9,908.6,92,80,3,Warm and humid evening with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-05,07:00,65.0,909.7,100,97,45,Mild and humid morning with mostly cloudy skies and Fog conditions.
6LR,36.212598,-81.679678,2026-08-05,14:00,75.0,912.8,100,78,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-05,19:00,70.2,910.9,100,91,3,Warm and humid evening with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-06,07:00,62.7,911.2,100,94,45,Mild and humid morning with mostly cloudy skies and Fog conditions.
6LR,36.212598,-81.679678,2026-08-06,14:00,70.3,913.8,100,100,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-06,19:00,71.9,912.8,100,86,3,Warm and humid evening with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-07,07:00,64.3,912.8,17,86,0,Mild and humid morning with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-07,14:00,73.3,914.9,100,90,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-07,19:00,73.0,913.1,35,82,1,Warm and humid evening with partly cloudy skies and Mainly clear conditions.
6LR,36.212598,-81.679678,2026-08-08,07:00,64.7,911.2,27,84,1,Mild and humid morning with partly cloudy skies and Mainly clear conditions.
6LR,36.212598,-81.679678,2026-08-08,14:00,75.7,913.5,20,76,1,Warm and humid afternoon with partly cloudy skies and Mainly clear conditions.
6LR,36.212598,-81.679678,2026-08-08,19:00,68.9,910.1,99,86,3,Mild and humid evening with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-09,07:00,64.0,910.4,0,80,0,Mild and humid morning with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-09,14:00,78.1,913.6,24,65,1,Warm and humid afternoon with partly cloudy skies and Mainly clear conditions.
6LR,36.212598,-81.679678,2026-08-09,19:00,69.4,911.0,100,86,63,Mild and humid evening with mostly cloudy skies and Moderate rain conditions.
6LR,36.212598,-81.679678,2026-08-10,07:00,64.0,910.2,3,86,0,Mild and humid morning with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-10,14:00,77.0,912.7,100,74,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-10,19:00,74.3,910.7,0,79,0,Warm and humid evening with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-11,07:00,68.5,909.7,0,90,0,Mild and humid morning with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-11,14:00,78.6,910.9,100,78,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-11,19:00,69.0,907.1,99,87,3,Mild and humid evening with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-12,07:00,64.1,904.6,51,79,2,Mild and humid morning with partly cloudy skies and Partly cloudy conditions.
6LR,36.212598,-81.679678,2026-08-12,14:00,72.5,906.2,88,80,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-12,19:00,73.7,906.3,1,74,0,Warm and humid evening with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-13,07:00,66.8,905.9,1,87,0,Mild and humid morning with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-13,14:00,72.3,909.0,100,92,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-13,19:00,75.7,908.9,0,81,0,Warm and humid evening with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-14,07:00,70.3,909.9,4,86,0,Warm and humid morning with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-14,14:00,80.2,912.9,100,73,3,Warm and humid afternoon with mostly cloudy skies and Overcast conditions.
6LR,36.212598,-81.679678,2026-08-14,19:00,78.8,911.5,2,68,0,Warm and humid evening with mostly clear skies and Clear conditions.
6LR,36.212598,-81.679678,2026-08-15,07:00,67.7,910.6,27,89,1,Mild and humid morning with partly cloudy skies and Mainly clear conditions.
6LR,36.212598,-81.679678,2026-08-15,14:00,80.0,913.1,23,70,1,Warm and humid afternoon with partly cloudy skies and Mainly clear conditions.
6LR,36.212598,-81.679678,2026-08-15,19:00,78.8,912.6,0,71,0,Warm and humid evening with mostly clear skies and Clear conditions.
